,title,subscriber,views,likes,summary_caption,date
10,People Involved In Child Marriages Will Be Arrested: Assam Chief Minister,12.3M subscribers,"1,074 ",27,"['Assam Chief Minister Himanta Biswa Sarma today said that people involved in child marriages would be arrested from Friday onwards. ""Thousands of people engaged in child marriage will be arrested from tomorrow. In the next six or seven days, thousands of youth or men who have married girls under 18 years will be arrested. Whoever has married a minor previously or has married now will be held,"" Assam Chief Minister said after his interaction with the faculty members of Nagaon Medical College.', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
11,"Top Headlines Of The Day: February 3, 2023",12.3M subscribers,"1,410 ",9,"['Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
12,Cycle Gifted By Ex-PM Morarji Desai Showcased At Assam Museum,12.3M subscribers,335 ,1,"['Among the arts in the Jorhat district museum in Assam is a bicycle that has a wonderful historical story attached to it. The cycle was a gift from former Prime Minister Morarji Desai to two villagers who in 1977 rescued the then Prime Minister from a plane crash and took him to the army hospital in Jorhat.(Video credit: PTI)', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel): ', ' ', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", ' ', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', ' ', 'Follow us on Social Media: ', 'Facebook: https://www.facebook.com/ndtv/', 'Twitter: https://twitter.com/ndtv/   ', 'Instagram: https://www.instagram.com/ndtv/ ', 'Telegram Messenger: https://t.me/NDTVbot/?start=hi ', ' ', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY ', ' ', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps ', ' ']","['  Feb 3, 2023']"
13,Tigress With 4 Cubs Spotted At Madhya Pradesh's Panna Reserve,12.3M subscribers,"2,579 ",80,"['A day after a tigress died in Panna Reserve in Madhya Pradesh, forest department officials on Thursday said its offspring P-151 was spotted with four cubs. (Video Credit: PTI)', '', 'Watch Latest News: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel): ', ' ', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", ' ', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', ' ', 'Follow us on Social Media: ', 'Facebook: https://www.facebook.com/ndtv/', 'Twitter: https://twitter.com/ndtv/   ', 'Instagram: https://www.instagram.com/ndtv/ ', 'Telegram Messenger: https://t.me/NDTVbot/?start=hi ', ' ', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY ', ' ', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps ', ' ']","['  Feb 3, 2023']"
14,"""Everything Getting Taxed At Source Is Good For India"": Expert",12.3M subscribers,590 ,2,"['""The spirit of putting everything under taxation is to not allow taxes to decide where to invest your money in. The fact that everything gets taxed at source is a good answer for India,"" says Barnik Maitra, Managing Partner, India and South Asia, Arthur D Little.', '', 'Watch ""Budget 2023 Decoded: Which Tax Regime Should You Choose? | No Spin"": https://youtu.be/6GUGczyR2yI', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
15,"""Investor Needs To Choose Right"": Flexi Capital's Nasser Salim",12.3M subscribers,269 ,1,"['""This is a no-brainer. Every investor right to choose the mix of product depending on the risk profile they have,"" says Nasser Salim, Managing Partner, Flexi Capital.', '', 'Watch ""Budget 2023 Decoded: Which Tax Regime Should You Choose? | No Spin"": https://youtu.be/6GUGczyR2yI', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
16,"""A Complex Tax Regime Difficult For Common People To Understand"": Economist | No Spin",12.3M subscribers,"1,365 ",28,"['""A complex tax regime is very difficult for economists to understand, then how do you expect the common citizen to understand,"" says economist and Advisor to Manipur Chief Minister, Rajat Sethi.', '', '', 'Watch ""Budget 2023 Decoded: Which Tax Regime Should You Choose? | No Spin"": https://youtu.be/6GUGczyR2yI', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
17,"""Change In New Tax Regime To Make It More Attractive"": Expert",12.3M subscribers,"1,345 ",12,"['Explaining the new tax regime and old new regime, Sonu Iyer, Tax Partner and National Leader, Personal Advisory Services, EY India, said ""The change in the new tax regime is done to make it more attractive. We have to see it in the light that it is the directional tax slab that we are headed to and we are making the change towards that."" ', '', '', 'Watch ""Budget 2023 Decoded: Which Tax Regime Should You Choose? | No Spin"": https://youtu.be/6GUGczyR2yI', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
18,"""Fair To Say No Losers In New Tax Regime"": Deloitte Partner",12.3M subscribers,964 ,4,"['Talking about the new budget, Alok Agrawal, Partner, Deloitte India, says ""It would be fair to say that there are no losers when we are only comparing it with the position last year and not really comparing it with the old tax regime. The government has made the new regime more attractive by introducing the standard deduction of Rs 50,000 as a part of the new regime.""', '', 'Watch ""Budget 2023 Decoded: Which Tax Regime Should You Choose? | No Spin"": https://youtu.be/6GUGczyR2yI', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
19,“Siddique Kappan’s Case Is An Apprehension Of A Breach Of Peace”: Senior Journalist,12.3M subscribers,"1,627 ",9,"['Speaking on the arrest of journalist Siddique Kappan, senior journalist Sharat Pradhan told NDTV that, “This is a rare case where a journalist has been picked up before he reaches a place where he is suspected to be causing a riot. This is an apprehension of a breach of peace. This has been done mainly because his name happens to be Siddique Kappan.”', '', 'Watch Left, Right and Centre: https://www.youtube.com/playlist?list...', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
20,“Need To Wait Till Truth Is Out”: Political Analyst On Journalist Siddique Kappan’s Case,12.3M subscribers,771 ,1,"['Giving multiple examples of different arrests made by previous governments, political analyst Geeta Bhatt said that Journalist Siddique Kappan has not been acquitted. “The case is still underway so we need to wait till the truth is out. Cases against Kappan are still in court. Even the newspaper that he was working has charges against it that it was a mouthpiece of PFI,” she said.', '', 'Watch Left, Right and Centre: https://www.youtube.com/playlist?list...', '', '', 'About NDTV (English news channel):', '', ""NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile."", '', 'Promoted: Find Best Shopping Deals On Amazon - https://g360.in/3twKm3m', '', 'Subscribe to our channel to get latest news updates.', '', 'Follow us on Social Media:', 'Like us on Facebook: https://www.facebook.com/ndtv/', 'Follow us on Twitter: https://twitter.com/ndtv/', 'Follow us on Instagram: https://www.instagram.com/ndtv/', 'Join NDTV on Telegram Messenger: https://t.me/NDTVbot/?start=hi', '', 'Follow us on Google News for Breaking and Latest News Updates:', 'NDTV: https://bit.ly/3e5ngbP', 'NDTV India (Hindi News): https://bit.ly/3mNVwMY', '', 'Download NDTV Mobile Apps: http://www.ndtv.com/page/apps', '']","['  Feb 3, 2023']"
